Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Australia,Consumer Confidence,1974-09-30T00:00:00,90.7,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1974-10-31T00:00:00,91.25,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1974-11-30T00:00:00,91.79,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1974-12-31T00:00:00,92.34,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1975-01-31T00:00:00,97.88,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1975-02-28T00:00:00,106.89,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1975-03-31T00:00:00,114.16,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1975-04-30T00:00:00,110.85,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1975-05-31T00:00:00,107.55,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1975-06-30T00:00:00,104.24,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1975-07-31T00:00:00,103.1,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1975-08-31T00:00:00,101.96,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1975-09-30T00:00:00,100.82,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1975-10-31T00:00:00,101.9,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1975-11-30T00:00:00,102.98,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1975-12-31T00:00:00,108.25,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1976-01-31T00:00:00,111.74,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1976-02-29T00:00:00,110.3,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1976-03-31T00:00:00,107.08,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1976-04-30T00:00:00,110.24,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1976-05-31T00:00:00,107.26,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1976-06-30T00:00:00,106.52,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1976-07-31T00:00:00,105.78,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1976-08-31T00:00:00,106.79,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1976-09-30T00:00:00,107.8,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1976-10-31T00:00:00,108.74,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1976-11-30T00:00:00,101.4,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1976-12-31T00:00:00,102.8,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1977-01-31T00:00:00,102.44,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1977-02-28T00:00:00,101.4,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1977-03-31T00:00:00,98.6,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1977-04-30T00:00:00,101.98,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1977-05-31T00:00:00,104.12,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1977-06-30T00:00:00,103.9,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1977-07-31T00:00:00,99.5,Monthly,WMCCCONPCT,2017-02-16T12:07:00
