Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Mexico,Consumer Confidence,2001-04-30T00:00:00,46.91,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2001-05-31T00:00:00,44.44,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2001-06-30T00:00:00,44.01,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2001-07-31T00:00:00,46.13,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2001-08-31T00:00:00,47.38,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2001-09-30T00:00:00,44.66,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2001-10-31T00:00:00,42.3,Monthly,MXCFCONF,2019-09-20T15:15:00
Mexico,Consumer Confidence,2001-11-30T00:00:00,42.78,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2001-12-31T00:00:00,42.68,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2002-01-31T00:00:00,36.84,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2002-02-28T00:00:00,38.28,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2002-03-31T00:00:00,39.48,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2002-04-30T00:00:00,40.06,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2002-05-31T00:00:00,40.93,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2002-06-30T00:00:00,41.04,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2002-07-31T00:00:00,41.61,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2002-08-31T00:00:00,42.3,Monthly,MXCFCONF,2019-09-20T15:15:00
Mexico,Consumer Confidence,2002-09-30T00:00:00,42.02,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2002-10-31T00:00:00,41.83,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2002-11-30T00:00:00,43.34,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2002-12-31T00:00:00,42.37,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2003-01-31T00:00:00,40.77,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2003-02-28T00:00:00,39.81,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2003-03-31T00:00:00,37.51,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2003-04-30T00:00:00,40.22,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2003-05-31T00:00:00,40.29,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2003-06-30T00:00:00,40.91,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2003-07-31T00:00:00,40.95,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2003-08-31T00:00:00,40.9,Monthly,MXCFCONF,2019-09-20T15:15:00
Mexico,Consumer Confidence,2003-09-30T00:00:00,40.14,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2003-10-31T00:00:00,40.58,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2003-11-30T00:00:00,40.26,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2003-12-31T00:00:00,39.05,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2004-01-31T00:00:00,39.54,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2004-02-29T00:00:00,40.04,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2004-03-31T00:00:00,39.13,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2004-04-30T00:00:00,39.9,Monthly,MXCFCONF,2019-09-20T15:15:00
Mexico,Consumer Confidence,2004-05-31T00:00:00,40.47,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2004-06-30T00:00:00,40.76,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2004-07-31T00:00:00,39.59,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2004-08-31T00:00:00,39.2,Monthly,MXCFCONF,2019-09-20T15:15:00
Mexico,Consumer Confidence,2004-09-30T00:00:00,40.13,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2004-10-31T00:00:00,39.8,Monthly,MXCFCONF,2020-03-05T12:17:00
Mexico,Consumer Confidence,2004-11-30T00:00:00,40.25,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2004-12-31T00:00:00,41.11,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2005-01-31T00:00:00,41.95,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2005-02-28T00:00:00,43.77,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2005-03-31T00:00:00,42.23,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2005-04-30T00:00:00,41.18,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2005-05-31T00:00:00,40.14,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2005-06-30T00:00:00,40.9,Monthly,MXCFCONF,2019-09-20T15:15:00
Mexico,Consumer Confidence,2005-07-31T00:00:00,41.04,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2005-08-31T00:00:00,40.08,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2005-09-30T00:00:00,41.65,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2005-10-31T00:00:00,42.76,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2005-11-30T00:00:00,43.25,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2005-12-31T00:00:00,43.63,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2006-01-31T00:00:00,43.87,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2006-02-28T00:00:00,44.4,Monthly,MXCFCONF,2020-03-05T12:17:00
Mexico,Consumer Confidence,2006-03-31T00:00:00,44.9,Monthly,MXCFCONF,2020-03-05T12:17:00
Mexico,Consumer Confidence,2006-04-30T00:00:00,44.7,Monthly,MXCFCONF,2020-03-05T12:17:00
Mexico,Consumer Confidence,2006-05-31T00:00:00,44.28,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2006-06-30T00:00:00,44.23,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2006-07-31T00:00:00,44.83,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2006-08-31T00:00:00,44.65,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2006-09-30T00:00:00,44.84,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2006-10-31T00:00:00,45.25,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2006-11-30T00:00:00,44.34,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2006-12-31T00:00:00,44.1,Monthly,MXCFCONF,2019-09-20T15:15:00
Mexico,Consumer Confidence,2007-01-31T00:00:00,42.62,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2007-02-28T00:00:00,42.8,Monthly,MXCFCONF,2020-03-05T12:17:00
Mexico,Consumer Confidence,2007-03-31T00:00:00,42.97,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2007-04-30T00:00:00,43.26,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2007-05-31T00:00:00,43.6,Monthly,MXCFCONF,2020-03-05T12:17:00
Mexico,Consumer Confidence,2007-06-30T00:00:00,43.14,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2007-07-31T00:00:00,42.91,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2007-08-31T00:00:00,43.5,Monthly,MXCFCONF,2020-03-05T12:17:00
Mexico,Consumer Confidence,2007-09-30T00:00:00,42.61,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2007-10-31T00:00:00,42.25,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2007-11-30T00:00:00,41.91,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2007-12-31T00:00:00,42.21,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2008-01-31T00:00:00,42.02,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2008-02-29T00:00:00,41.63,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2008-03-31T00:00:00,41.5,Monthly,MXCFCONF,2020-03-05T12:17:00
Mexico,Consumer Confidence,2008-04-30T00:00:00,39.97,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2008-05-31T00:00:00,38.97,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2008-06-30T00:00:00,37.68,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2008-07-31T00:00:00,36.5,Monthly,MXCFCONF,2019-09-20T15:15:00
Mexico,Consumer Confidence,2008-08-31T00:00:00,36.75,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2008-09-30T00:00:00,36.21,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2008-10-31T00:00:00,35.06,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2008-11-30T00:00:00,35.83,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2008-12-31T00:00:00,34.65,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2009-01-31T00:00:00,34.21,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2009-02-28T00:00:00,33.68,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2009-03-31T00:00:00,33.35,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2009-04-30T00:00:00,34.48,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2009-05-31T00:00:00,33.36,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2009-06-30T00:00:00,34.11,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2009-07-31T00:00:00,35.66,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2009-08-31T00:00:00,34.03,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2009-09-30T00:00:00,34.03,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2009-10-31T00:00:00,33.41,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2009-11-30T00:00:00,34.02,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2009-12-31T00:00:00,33.76,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2010-01-31T00:00:00,34.52,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2010-02-28T00:00:00,34.53,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2010-03-31T00:00:00,34.73,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2010-04-30T00:00:00,34.96,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2010-05-31T00:00:00,35.88,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2010-06-30T00:00:00,36.56,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2010-07-31T00:00:00,36.29,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2010-08-31T00:00:00,36.67,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2010-09-30T00:00:00,37.85,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2010-10-31T00:00:00,38.25,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2010-11-30T00:00:00,38.13,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2010-12-31T00:00:00,38.03,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2011-01-31T00:00:00,38.1,Monthly,MXCFCONF,2019-09-20T15:15:00
Mexico,Consumer Confidence,2011-02-28T00:00:00,38.8,Monthly,MXCFCONF,2020-03-05T12:17:00
Mexico,Consumer Confidence,2011-03-31T00:00:00,38.5,Monthly,MXCFCONF,2020-03-05T12:17:00
Mexico,Consumer Confidence,2011-04-30T00:00:00,37.58,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2011-05-31T00:00:00,37.66,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2011-06-30T00:00:00,38.47,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2011-07-31T00:00:00,38.94,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2011-08-31T00:00:00,38.43,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2011-09-30T00:00:00,38.06,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2011-10-31T00:00:00,38.37,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2011-11-30T00:00:00,38.32,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2011-12-31T00:00:00,37.59,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2012-01-31T00:00:00,39.06,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2012-02-29T00:00:00,39.47,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2012-03-31T00:00:00,39.07,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2012-04-30T00:00:00,40.22,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2012-05-31T00:00:00,40,Monthly,MXCFCONF,2019-09-20T15:15:00
Mexico,Consumer Confidence,2012-06-30T00:00:00,39.31,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2012-07-31T00:00:00,40.26,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2012-08-31T00:00:00,40.4,Monthly,MXCFCONF,2020-03-05T12:17:00
Mexico,Consumer Confidence,2012-09-30T00:00:00,39.05,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2012-10-31T00:00:00,40.14,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2012-11-30T00:00:00,39.91,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2012-12-31T00:00:00,40.99,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2013-01-31T00:00:00,41.4,Monthly,MXCFCONF,2020-03-05T12:17:00
Mexico,Consumer Confidence,2013-02-28T00:00:00,40.38,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2013-03-31T00:00:00,40.13,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2013-04-30T00:00:00,39.85,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2013-05-31T00:00:00,39.53,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2013-06-30T00:00:00,38.33,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2013-07-31T00:00:00,39.86,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2013-08-31T00:00:00,40.27,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2013-09-30T00:00:00,39.01,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2013-10-31T00:00:00,38.41,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2013-11-30T00:00:00,37.45,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2013-12-31T00:00:00,37.17,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2014-01-31T00:00:00,35.5,Monthly,MXCFCONF,2019-11-06T12:36:00
Mexico,Consumer Confidence,2014-02-28T00:00:00,36.52,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2014-03-31T00:00:00,37.35,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2014-04-30T00:00:00,37.65,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2014-05-31T00:00:00,37.67,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2014-06-30T00:00:00,37.41,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2014-07-31T00:00:00,36.92,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2014-08-31T00:00:00,37.31,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2014-09-30T00:00:00,38.16,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2014-10-31T00:00:00,37.9,Monthly,MXCFCONF,2020-03-05T12:17:00
Mexico,Consumer Confidence,2014-11-30T00:00:00,38.69,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2014-12-31T00:00:00,38.42,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2015-01-31T00:00:00,38.16,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2015-02-28T00:00:00,38.47,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2015-03-31T00:00:00,38.84,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2015-04-30T00:00:00,37.89,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2015-05-31T00:00:00,37.73,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2015-06-30T00:00:00,38.53,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2015-07-31T00:00:00,37.63,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2015-08-31T00:00:00,37.34,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2015-09-30T00:00:00,37.49,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2015-10-31T00:00:00,37.96,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2015-11-30T00:00:00,38.12,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2015-12-31T00:00:00,38.07,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2016-01-31T00:00:00,38.39,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2016-02-29T00:00:00,37.69,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2016-03-31T00:00:00,37.17,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2016-04-30T00:00:00,36.79,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2016-05-31T00:00:00,37.11,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2016-06-30T00:00:00,37.78,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2016-07-31T00:00:00,36.13,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2016-08-31T00:00:00,35.65,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2016-09-30T00:00:00,34.87,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2016-10-31T00:00:00,35.13,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2016-11-30T00:00:00,34.67,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2016-12-31T00:00:00,35.2,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2017-01-31T00:00:00,28.81,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2017-02-28T00:00:00,32.24,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2017-03-31T00:00:00,34.21,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2017-04-30T00:00:00,35.01,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2017-05-31T00:00:00,35.5,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2017-06-30T00:00:00,35.57,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2017-07-31T00:00:00,36.19,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2017-08-31T00:00:00,36.47,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2017-09-30T00:00:00,36.97,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2017-10-31T00:00:00,36.52,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2017-11-30T00:00:00,36.46,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2017-12-31T00:00:00,36.06,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2018-01-31T00:00:00,34.89,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2018-02-28T00:00:00,34.79,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2018-03-31T00:00:00,34.77,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2018-04-30T00:00:00,35.68,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2018-05-31T00:00:00,36.34,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2018-06-30T00:00:00,36.86,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2018-07-31T00:00:00,43.09,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2018-08-31T00:00:00,42.91,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2018-09-30T00:00:00,42.29,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2018-10-31T00:00:00,42.59,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2018-11-30T00:00:00,41.42,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2018-12-31T00:00:00,44.59,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2019-01-31T00:00:00,45.92,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2019-02-28T00:00:00,48.46,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2019-03-31T00:00:00,46.96,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2019-04-30T00:00:00,45.55,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2019-05-31T00:00:00,44.02,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2019-06-30T00:00:00,43.46,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2019-07-31T00:00:00,43.15,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2019-08-31T00:00:00,43.69,Monthly,MXCFCONF,2021-01-08T12:33:00
Mexico,Consumer Confidence,2019-09-30T00:00:00,45.4,Monthly,MXCFCONF,2020-11-05T12:08:00
Mexico,Consumer Confidence,2019-10-31T00:00:00,44.14,Monthly,MXCFCONF,2021-01-08T12:33:00
