Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United Kingdom,Consumer Confidence,1981-11-30T00:00:00,-22,Monthly,UKCCI,2011-06-27T00:00:00
United Kingdom,Consumer Confidence,1981-12-31T00:00:00,-26,Monthly,UKCCI,2011-06-27T00:00:00
United Kingdom,Consumer Confidence,1982-01-31T00:00:00,-19,Monthly,UKCCI,2011-06-27T00:00:00
United Kingdom,Consumer Confidence,1982-02-28T00:00:00,-22,Monthly,UKCCI,2011-06-27T00:00:00
United Kingdom,Consumer Confidence,1982-03-31T00:00:00,-18,Monthly,UKCCI,2011-06-27T00:00:00
United Kingdom,Consumer Confidence,1982-04-30T00:00:00,-14,Monthly,UKCCI,2011-06-27T00:00:00
United Kingdom,Consumer Confidence,1982-05-31T00:00:00,-5,Monthly,UKCCI,2011-06-27T00:00:00
United Kingdom,Consumer Confidence,1982-06-30T00:00:00,-3,Monthly,UKCCI,2011-06-27T00:00:00
United Kingdom,Consumer Confidence,1982-07-31T00:00:00,-8,Monthly,UKCCI,2011-06-27T00:00:00
United Kingdom,Consumer Confidence,1982-08-31T00:00:00,-7,Monthly,UKCCI,2011-06-27T00:00:00
United Kingdom,Consumer Confidence,1982-09-30T00:00:00,-9,Monthly,UKCCI,2011-06-27T00:00:00
United Kingdom,Consumer Confidence,1982-10-31T00:00:00,-7,Monthly,UKCCI,2011-06-27T00:00:00
United Kingdom,Consumer Confidence,1982-11-30T00:00:00,-4,Monthly,UKCCI,2011-06-27T00:00:00
United Kingdom,Consumer Confidence,1982-12-31T00:00:00,-10,Monthly,UKCCI,2011-06-27T00:00:00
United Kingdom,Consumer Confidence,1983-01-31T00:00:00,-5,Monthly,UKCCI,2011-06-27T00:00:00
United Kingdom,Consumer Confidence,1983-02-28T00:00:00,-9,Monthly,UKCCI,2011-06-27T00:00:00
United Kingdom,Consumer Confidence,1983-03-31T00:00:00,-4,Monthly,UKCCI,2011-06-27T00:00:00
United Kingdom,Consumer Confidence,1983-04-30T00:00:00,-2,Monthly,UKCCI,2011-06-27T00:00:00
United Kingdom,Consumer Confidence,1983-05-31T00:00:00,3,Monthly,UKCCI,2011-06-27T00:00:00
United Kingdom,Consumer Confidence,1983-06-30T00:00:00,2,Monthly,UKCCI,2011-06-27T00:00:00
United Kingdom,Consumer Confidence,1983-07-31T00:00:00,-1,Monthly,UKCCI,2011-06-27T00:00:00
United Kingdom,Consumer Confidence,1983-08-31T00:00:00,1,Monthly,UKCCI,2011-06-27T00:00:00
United Kingdom,Consumer Confidence,1983-09-30T00:00:00,-1,Monthly,UKCCI,2011-06-27T00:00:00
United Kingdom,Consumer Confidence,1983-10-31T00:00:00,-2,Monthly,UKCCI,2011-06-27T00:00:00
United Kingdom,Consumer Confidence,1983-11-30T00:00:00,-3,Monthly,UKCCI,2011-06-27T00:00:00
United Kingdom,Consumer Confidence,1983-12-31T00:00:00,-2,Monthly,UKCCI,2011-06-27T00:00:00
United Kingdom,Consumer Confidence,1984-01-31T00:00:00,2,Monthly,UKCCI,2011-06-27T00:00:00
United Kingdom,Consumer Confidence,1984-02-29T00:00:00,-1,Monthly,UKCCI,2011-06-27T00:00:00
United Kingdom,Consumer Confidence,1984-03-31T00:00:00,-4,Monthly,UKCCI,2011-06-27T00:00:00
