date,market,market_name,variable,value
1/5/2020,US-NY-501,NYC,american express shop small,0
1/5/2020,US-NY-501,NYC,amex dining,44
1/5/2020,US-NY-501,NYC,amex shop small,0
1/5/2020,US-NY-501,NYC,bars near me,87
1/5/2020,US-NY-501,NYC,best appliances,67
1/5/2020,US-NY-501,NYC,best cookware,44
1/5/2020,US-NY-501,NYC,best restaurants,90
1/5/2020,US-NY-501,NYC,blue apron,27
1/5/2020,US-NY-501,NYC,breakfast near me,77
1/5/2020,US-NY-501,NYC,brewery near me,34
1/5/2020,US-NY-501,NYC,casual dining,0
1/5/2020,US-NY-501,NYC,coffee shops near me,39
1/5/2020,US-NY-501,NYC,delis near me,55
1/5/2020,US-NY-501,NYC,dining,36
1/5/2020,US-NY-501,NYC,dinner near me,48
1/5/2020,US-NY-501,NYC,door dash,21
1/5/2020,US-NY-501,NYC,doordash,30
1/5/2020,US-NY-501,NYC,drizly,11
1/5/2020,US-NY-501,NYC,fine dining,100
1/5/2020,US-NY-501,NYC,food delivery,41
1/5/2020,US-NY-501,NYC,food near me,69
1/5/2020,US-NY-501,NYC,grubhub,69
1/5/2020,US-NY-501,NYC,hellofresh,74
1/5/2020,US-NY-501,NYC,instacart,5
1/5/2020,US-NY-501,NYC,local dining,0
1/5/2020,US-NY-501,NYC,lunch near me,74
1/5/2020,US-NY-501,NYC,meal kits,14
1/5/2020,US-NY-501,NYC,meal subscription,0
1/5/2020,US-NY-501,NYC,online cooking classes,0
1/5/2020,US-NY-501,NYC,outdoor dining,3
1/5/2020,US-NY-501,NYC,places to eat,73
1/5/2020,US-NY-501,NYC,reservations,78
1/5/2020,US-NY-501,NYC,restaurants,81
1/5/2020,US-NY-501,NYC,restaurants near me,78
1/5/2020,US-NY-501,NYC,restaurants nearby,35
1/5/2020,US-NY-501,NYC,romantic restaurant,34
1/5/2020,US-NY-501,NYC,safe restaurants,31
1/5/2020,US-NY-501,NYC,shop small,34
1/5/2020,US-NY-501,NYC,shop small american express,0
1/5/2020,US-NY-501,NYC,takeout,33
1/5/2020,US-NY-501,NYC,takeout Tuesday,0
1/5/2020,US-NY-501,NYC,takeout restaurants,8
1/5/2020,US-NY-501,NYC,ubereats,41
1/5/2020,US-NY-501,NYC,wine delivery,11
1/5/2020,US-NY-501,NYC,winery near me,0
1/12/2020,US-NY-501,NYC,american express shop small,0
1/12/2020,US-NY-501,NYC,amex dining,0
1/12/2020,US-NY-501,NYC,amex shop small,0
1/12/2020,US-NY-501,NYC,bars near me,93
1/12/2020,US-NY-501,NYC,best appliances,27
1/12/2020,US-NY-501,NYC,best cookware,41
1/12/2020,US-NY-501,NYC,best restaurants,94
1/12/2020,US-NY-501,NYC,blue apron,28
1/12/2020,US-NY-501,NYC,breakfast near me,54
