market_name,county,cases,cases_l14,cases_l21,cases_l28,cases_l7,deaths,deaths_l14,deaths_l21,deaths_l28,deaths_l7,case_mortality,case_mortality_l7,cases_v_l7,cases_v_l7_perc,deaths_v_l7,deaths_v_l7_perc,case_mortality_v_l7,case_mortality_v_l7_perc,case_mortality_l14,cases_v_l14,cases_v_l14_perc,deaths_v_l14,deaths_v_l14_perc,case_mortality_v_l14,case_mortality_v_l14_perc,case_mortality_l21,cases_v_l21,cases_v_l21_perc,deaths_v_l21,deaths_v_l21_perc,case_mortality_v_l21,case_mortality_v_l21_perc,case_mortality_l28,cases_v_l28,cases_v_l28_perc,deaths_v_l28,deaths_v_l28_perc,case_mortality_v_l28,case_mortality_v_l28_perc,state,region,division,population,last_updated
Alabama,Autauga,6264,6023,5869,5669,6117,91.0,84.0,77.0,69.0,85.0,0.014527458492975735,0.013895700506784372,147,0.024031387935262494,6.0,0.07058823529411762,0.0006317579861913631,0.04546427766508909,0.013946538269965133,241,0.04001328241739999,7.0,0.08333333333333326,0.0005809202230106017,0.0416533631332483,0.013119781904924178,395,0.0673027773044812,14.0,0.18181818181818188,0.0014076765880515572,0.1072942064321376,0.012171458811077791,595,0.1049567825013229,22.0,0.318840579710145,0.0023559996818979436,0.19356756806781794,AL,South,East South Central,55869.0,2021-02-28
Alabama,Baldwin,19732,19105,18723,18126,19433,283.0,252.0,227.0,224.0,262.0,0.014342185282789377,0.013482220964339011,299,0.015386198734112178,21.0,0.08015267175572527,0.0008599643184503663,0.06378506336048084,0.013190264328709763,627,0.03281863386548034,31.0,0.12301587301587302,0.0011519209540796146,0.08733115010988501,0.012124125407253111,1009,0.053890936281578705,56.0,0.24669603524229067,0.0022180598755362664,0.1829459693817863,0.012357938872338077,1606,0.08860200816506669,59.0,0.2633928571428572,0.0019842464104513,0.1605645108742868,AL,South,East South Central,223234.0,2021-02-28
Alabama,Barbour,2115,2042,2008,1951,2070,51.0,48.0,45.0,40.0,50.0,0.024113475177304965,0.024154589371980676,45,0.021739130434782705,1.0,0.020000000000000018,-4.1114194675711396e-05,-0.0017021276595744483,0.023506366307541625,73,0.035749265426052945,3.0,0.0625,0.0006071088697633398,0.025827423167848806,0.022410358565737053,107,0.0532868525896415,6.0,0.1333333333333333,0.001703116611567912,0.07599684791174144,0.020502306509482315,164,0.08405945668887749,11.0,0.2749999999999999,0.0036111686678226493,0.17613475177304982,AL,South,East South Central,24686.0,2021-02-28
Alabama,Bibb,2450,2395,2339,2307,2416,60.0,57.0,53.0,52.0,58.0,0.024489795918367346,0.024006622516556293,34,0.01407284768211925,2.0,0.034482758620689724,0.0004831734018110531,0.020126671358198456,0.023799582463465554,55,0.022964509394572064,3.0,0.05263157894736836,0.0006902134549017919,0.029001074113855996,0.022659256092347157,111,0.04745617785378364,7.0,0.13207547169811318,0.0018305398260201888,0.08078552175587217,0.022540095361941917,143,0.06198526224534029,8.0,0.15384615384615374,0.0019497005564254287,0.08649921507064362,AL,South,East South Central,22394.0,2021-02-28
Alabama,Blount,6097,5961,5915,5713,6042,127.0,121.0,112.0,100.0,125.0,0.020829916352304412,0.02068851373717312,55,0.00910294604435613,2.0,0.016000000000000014,0.00014140261513129193,0.0068348368049862,0.020298607616171783,136,0.02281496393222615,6.0,0.04958677685950419,0.0005313087361326282,0.026174639471790107,0.01893491124260355,182,0.03076923076923066,15.0,0.1339285714285714,0.0018950051097008612,0.10007995735607667,0.01750393838613688,384,0.06721512340276559,27.0,0.27,0.003325977966167532,0.1900131212071512,AL,South,East South Central,57826.0,2021-02-28
Alabama,Bullock,1169,1142,1128,1086,1151,36.0,32.0,29.0,29.0,33.0,0.030795551753635585,0.028670721112076455,18,0.01563857515204181,3.0,0.09090909090909083,0.00212483064155913,0.07411151722528975,0.028021015761821366,27,0.023642732049036885,4.0,0.125,0.002774535991814219,0.09901625320787,0.025709219858156027,41,0.03634751773049638,7.0,0.24137931034482762,0.005086331895479558,0.19784077165865321,0.026703499079189688,83,0.076427255985267,7.0,0.24137931034482762,0.004092052674445897,0.15324031739476696,AL,South,East South Central,10101.0,2021-02-28
Alabama,Butler,1961,1902,1865,1812,1940,66.0,64.0,62.0,60.0,64.0,0.033656297807241206,0.032989690721649485,21,0.010824742268041199,2.0,0.03125,0.0006666070855917208,0.02020652728199912,0.033648790746582544,59,0.031019978969505813,2.0,0.03125,7.507060658662468e-06,0.00022310045894968766,0.03324396782841823,96,0.0514745308310991,4.0,0.06451612903225801,0.000412329978822977,0.012403151782336419,0.033112582781456956,149,0.08222958057395147,6.0,0.10000000000000009,0.0005437150257842499,0.01642019377868431,AL,South,East South Central,19448.0,2021-02-28
Alabama,Calhoun,13275,12700,12402,12011,12940,286.0,263.0,246.0,232.0,278.0,0.021544256120527308,0.021483771251931995,335,0.02588871715610508,8.0,0.02877697841726623,6.048486859531327e-05,0.002815374818789129,0.020708661417322836,575,0.04527559055118102,23.0,0.0874524714828897,0.0008355947032044723,0.040350010382877555,0.01983551040154814,873,0.07039187227866472,40.0,0.16260162601626016,0.001708745718979169,0.08614579027146196,0.01931562734160353,1264,0.10523686620597794,54.0,0.23275862068965525,0.0022286287789237795,0.11537957010195488,AL,South,East South Central,113605.0,2021-02-28
Alabama,Chambers,3410,3321,3263,3203,3367,110.0,94.0,81.0,76.0,99.0,0.03225806451612903,0.029403029403029402,43,0.01277101277101278,11.0,0.11111111111111116,0.002855035113099629,0.09710003258390354,0.02830472749171936,89,0.026799156880457753,16.0,0.17021276595744683,0.00395333702440967,0.1396705559368565,0.02482378179589335,147,0.04505056696291754,29.0,0.3580246913580247,0.0074342827202356805,0.2994822779769015,0.02372775522947237,207,0.06462691226974715,34.0,0.44736842105263164,0.00853030928665666,0.3595076400679116,AL,South,East South Central,33254.0,2021-02-28
Alabama,Cherokee,1770,1744,1730,1704,1753,38.0,37.0,36.0,35.0,37.0,0.021468926553672316,0.021106674272675412,17,0.0096976611523103,1.0,0.027027027027026973,0.00036225228099690324,0.01716292563750188,0.02121559633027523,26,0.014908256880733939,1.0,0.027027027027026973,0.0002533302233970851,0.011940754313635615,0.020809248554913295,40,0.023121387283236983,2.0,0.05555555555555558,0.0006596779987590208,0.03170119271814187,0.020539906103286387,66,0.03873239436619724,3.0,0.08571428571428563,0.0009290204503859291,0.04523002421307498,AL,South,East South Central,26196.0,2021-02-28
Alabama,Chilton,3870,3731,3615,3544,3785,100.0,90.0,82.0,79.0,93.0,0.025839793281653745,0.024570673712021138,85,0.022457067371202122,7.0,0.07526881720430101,0.0012691195696326076,0.05165180183934859,0.024122219244170465,139,0.037255427499329974,10.0,0.11111111111111116,0.0017175740374832799,0.07120298593166807,0.02268326417704011,255,0.0705394190871369,18.0,0.2195121951219512,0.0031565291046136354,0.13915674040461323,0.022291196388261852,326,0.09198645598194122,21.0,0.26582278481012667,0.003548596893391893,0.15919275177444137,AL,South,East South Central,44428.0,2021-02-28
Alabama,Choctaw,550,543,540,535,546,23.0,23.0,23.0,24.0,23.0,0.04181818181818182,0.04212454212454213,4,0.0073260073260073,0.0,0.0,-0.0003063603063603107,-0.007272727272727431,0.0423572744014733,7,0.012891344383057168,0.0,0.0,-0.0005390925832914825,-0.01272727272727281,0.04259259259259259,10,0.0185185185185186,0.0,0.0,-0.0007744107744107748,-0.018181818181818188,0.044859813084112146,15,0.028037383177569986,-1.0,-0.04166666666666663,-0.0030416312659303293,-0.06780303030303025,AL,South,East South Central,12589.0,2021-02-28
