Date,Symbols,Ticker,market_name,value,index_perc_change
2017-01-31,^AORD,All Ordinaries,Australia,5704.0,
2017-02-01,^AORD,All Ordinaries,Australia,5696.39990234375,-0.0013324154376315178
2017-02-02,^AORD,All Ordinaries,Australia,5672.5,-0.004195615257615026
2017-02-05,^AORD,All Ordinaries,Australia,5665.39990234375,-0.0012516699261789777
2017-02-06,^AORD,All Ordinaries,Australia,5672.60009765625,0.0012709068091594222
2017-02-07,^AORD,All Ordinaries,Australia,5703.39990234375,0.00542957447330461
2017-02-08,^AORD,All Ordinaries,Australia,5717.7001953125,0.002507327771786416
2017-02-09,^AORD,All Ordinaries,Australia,5771.60009765625,0.009426850045047619
2017-02-12,^AORD,All Ordinaries,Australia,5812.89990234375,0.007155694086336872
2017-02-13,^AORD,All Ordinaries,Australia,5810.89990234375,-0.00034406234987693907
2017-02-14,^AORD,All Ordinaries,Australia,5859.10009765625,0.00829479015686685
2017-02-15,^AORD,All Ordinaries,Australia,5863.0,0.0006656145617498499
2017-02-16,^AORD,All Ordinaries,Australia,5851.0,-0.0020467337540508446
2017-02-19,^AORD,All Ordinaries,Australia,5840.5,-0.0017945650316185668
2017-02-20,^AORD,All Ordinaries,Australia,5835.39990234375,-0.0008732296303827214
2017-02-21,^AORD,All Ordinaries,Australia,5850.10009765625,0.0025191410286371507
2017-02-22,^AORD,All Ordinaries,Australia,5832.5,-0.0030085122241414464
2017-02-23,^AORD,All Ordinaries,Australia,5786.89990234375,-0.007818276494856446
2017-02-26,^AORD,All Ordinaries,Australia,5773.7998046875,-0.0022637505188131124
2017-02-27,^AORD,All Ordinaries,Australia,5761.0,-0.0022168771208708193
2017-02-28,^AORD,All Ordinaries,Australia,5750.89990234375,-0.0017531848040704956
2017-03-01,^AORD,All Ordinaries,Australia,5820.7001953125,0.012137281843543013
2017-03-02,^AORD,All Ordinaries,Australia,5775.39990234375,-0.007782619177883587
2017-03-05,^AORD,All Ordinaries,Australia,5788.5,0.0022682581081414632
2017-03-06,^AORD,All Ordinaries,Australia,5801.89990234375,0.00231491791375138
2017-03-07,^AORD,All Ordinaries,Australia,5799.5,-0.0004136407701175182
2017-03-08,^AORD,All Ordinaries,Australia,5780.5,-0.003276144495215072
2017-03-09,^AORD,All Ordinaries,Australia,5811.2001953125,0.005310993047746626
2017-03-12,^AORD,All Ordinaries,Australia,5794.60009765625,-0.002856569572261547
2017-03-13,^AORD,All Ordinaries,Australia,5798.10009765625,0.0006040106204077134
2017-03-14,^AORD,All Ordinaries,Australia,5813.7001953125,0.0026905533525638514
2017-03-15,^AORD,All Ordinaries,Australia,5827.5,0.002373669818513724
2017-03-16,^AORD,All Ordinaries,Australia,5840.7998046875,0.0022822487666238622
2017-03-19,^AORD,All Ordinaries,Australia,5820.5,-0.0034755179712218087
2017-03-20,^AORD,All Ordinaries,Australia,5819.5,-0.00017180654582937827
2017-03-21,^AORD,All Ordinaries,Australia,5732.0,-0.015035655984191099
2017-03-22,^AORD,All Ordinaries,Australia,5754.0,0.0038381018841591175
2017-03-23,^AORD,All Ordinaries,Australia,5796.10009765625,0.007316666259341353
2017-03-26,^AORD,All Ordinaries,Australia,5789.2001953125,-0.0011904387825427687
2017-03-27,^AORD,All Ordinaries,Australia,5860.39990234375,0.012298712193249184
2017-03-28,^AORD,All Ordinaries,Australia,5910.7001953125,0.008583082009238518
2017-03-29,^AORD,All Ordinaries,Australia,5931.7998046875,0.00356973094181523
2017-03-30,^AORD,All Ordinaries,Australia,5903.7998046875,-0.004720321137249739
2017-04-03,^AORD,All Ordinaries,Australia,5909.7001953125,0.0009994225448355376
2017-04-04,^AORD,All Ordinaries,Australia,5895.7998046875,-0.0023521312698782104
2017-04-05,^AORD,All Ordinaries,Australia,5915.89990234375,0.003409223230454561
2017-04-06,^AORD,All Ordinaries,Australia,5897.2998046875,-0.0031440859316907988
2017-04-07,^AORD,All Ordinaries,Australia,5902.60009765625,0.0008987660699455446
2017-04-10,^AORD,All Ordinaries,Australia,5948.89990234375,0.007843967729727064
2017-04-11,^AORD,All Ordinaries,Australia,5964.60009765625,0.002639176246067576
2017-04-12,^AORD,All Ordinaries,Australia,5968.89990234375,0.0007208873381452374
2017-04-13,^AORD,All Ordinaries,Australia,5925.89990234375,-0.0072040075564201445
2017-04-18,^AORD,All Ordinaries,Australia,5868.7001953125,-0.009652492950248281
2017-04-19,^AORD,All Ordinaries,Australia,5839.89990234375,-0.004907439809543113
2017-04-20,^AORD,All Ordinaries,Australia,5854.39990234375,0.00248291926958899
2017-04-21,^AORD,All Ordinaries,Australia,5885.60009765625,0.005329358402730522
2017-04-24,^AORD,All Ordinaries,Australia,5900.7001953125,0.002565600347577579
2017-04-26,^AORD,All Ordinaries,Australia,5936.7998046875,0.006117851810820252
2017-04-27,^AORD,All Ordinaries,Australia,5944.39990234375,0.0012801674144795605
2017-04-28,^AORD,All Ordinaries,Australia,5947.60009765625,0.0005383546472434997
2017-05-01,^AORD,All Ordinaries,Australia,5976.39990234375,0.0048422564084038555
2017-05-02,^AORD,All Ordinaries,Australia,5971.39990234375,-0.0008366240682855519
2017-05-03,^AORD,All Ordinaries,Australia,5919.89990234375,-0.008624443320198072
2017-05-04,^AORD,All Ordinaries,Australia,5904.5,-0.002601378840485613
2017-05-05,^AORD,All Ordinaries,Australia,5863.7998046875,-0.006893080754085901
2017-05-08,^AORD,All Ordinaries,Australia,5897.7998046875,0.005798287992850648
2017-05-09,^AORD,All Ordinaries,Australia,5874.5,-0.003950592671691178
2017-05-10,^AORD,All Ordinaries,Australia,5911.10009765625,0.006230334097582668
2017-05-11,^AORD,All Ordinaries,Australia,5912.0,0.0001522394019526363
2017-05-12,^AORD,All Ordinaries,Australia,5870.89990234375,-0.006951978629270994
2017-05-15,^AORD,All Ordinaries,Australia,5868.39990234375,-0.0004258290963199407
2017-05-16,^AORD,All Ordinaries,Australia,5882.2001953125,0.0023516279051192246
2017-05-17,^AORD,All Ordinaries,Australia,5821.2001953125,-0.010370269282676037
2017-05-18,^AORD,All Ordinaries,Australia,5775.5,-0.007850648281998551
2017-05-19,^AORD,All Ordinaries,Australia,5768.89990234375,-0.0011427751114622131
2017-05-22,^AORD,All Ordinaries,Australia,5811.2001953125,0.00733247130038861
2017-05-23,^AORD,All Ordinaries,Australia,5802.7998046875,-0.001445551752248364
2017-05-24,^AORD,All Ordinaries,Australia,5811.60009765625,0.0015165598099111666
2017-05-25,^AORD,All Ordinaries,Australia,5828.7998046875,0.002959547584526101
2017-05-26,^AORD,All Ordinaries,Australia,5792.10009765625,-0.0062962716615754255
2017-05-29,^AORD,All Ordinaries,Australia,5747.7001953125,-0.007665596518560913
2017-05-30,^AORD,All Ordinaries,Australia,5756.0,0.0014440218531699411
2017-05-31,^AORD,All Ordinaries,Australia,5761.2998046875,0.0009207443862926379
2017-06-01,^AORD,All Ordinaries,Australia,5772.5,0.001944039659832919
2017-06-02,^AORD,All Ordinaries,Australia,5821.10009765625,0.008419246021004856
2017-06-05,^AORD,All Ordinaries,Australia,5792.10009765625,-0.004981876194102286
2017-06-06,^AORD,All Ordinaries,Australia,5708.10009765625,-0.01450251179774853
2017-06-07,^AORD,All Ordinaries,Australia,5707.7998046875,-5.2608217027128035e-05
2017-06-08,^AORD,All Ordinaries,Australia,5714.7998046875,0.001226391996834053
2017-06-09,^AORD,All Ordinaries,Australia,5715.5,0.00012252315679117665
2017-06-13,^AORD,All Ordinaries,Australia,5801.7998046875,0.01509925722815142
2017-06-14,^AORD,All Ordinaries,Australia,5862.2001953125,0.01041062991801267
2017-06-15,^AORD,All Ordinaries,Australia,5796.7001953125,-0.0111732792838386
2017-06-16,^AORD,All Ordinaries,Australia,5808.0,0.0019493512354904485
2017-06-19,^AORD,All Ordinaries,Australia,5835.5,0.004734848484848397
2017-06-20,^AORD,All Ordinaries,Australia,5792.2998046875,-0.007402998082854939
2017-06-21,^AORD,All Ordinaries,Australia,5703.2001953125,-0.015382423627812725
2017-06-22,^AORD,All Ordinaries,Australia,5742.2998046875,0.006855731525457598
2017-06-23,^AORD,All Ordinaries,Australia,5754.60009765625,0.002142049942900792
2017-06-26,^AORD,All Ordinaries,Australia,5758.39990234375,0.0006603073407389637
2017-06-27,^AORD,All Ordinaries,Australia,5752.5,-0.0010245732223892468
2017-06-28,^AORD,All Ordinaries,Australia,5796.10009765625,0.007579330318339794
2017-06-29,^AORD,All Ordinaries,Australia,5855.89990234375,0.010317248439460469
2017-06-30,^AORD,All Ordinaries,Australia,5764.0,-0.01569355758744584
2017-07-03,^AORD,All Ordinaries,Australia,5727.5,-0.006332408049965266
2017-07-04,^AORD,All Ordinaries,Australia,5819.60009765625,0.016080331323657715
2017-07-05,^AORD,All Ordinaries,Australia,5801.0,-0.003196112678556906
2017-07-06,^AORD,All Ordinaries,Australia,5797.5,-0.0006033442509911779
2017-07-07,^AORD,All Ordinaries,Australia,5743.89990234375,-0.00924538122574381
2017-07-10,^AORD,All Ordinaries,Australia,5762.89990234375,0.0033078570871765134
2017-07-11,^AORD,All Ordinaries,Australia,5768.5,0.0009717499438040011
2017-07-12,^AORD,All Ordinaries,Australia,5717.7001953125,-0.008806414958394737
2017-07-13,^AORD,All Ordinaries,Australia,5779.10009765625,0.0107385662497812
2017-07-14,^AORD,All Ordinaries,Australia,5808.7001953125,0.005121921606489277
2017-07-17,^AORD,All Ordinaries,Australia,5800.7998046875,-0.0013600961246674759
2017-07-18,^AORD,All Ordinaries,Australia,5738.2001953125,-0.010791547973163063
2017-07-19,^AORD,All Ordinaries,Australia,5779.39990234375,0.007179900601046674
2017-07-20,^AORD,All Ordinaries,Australia,5805.7001953125,0.004550696164507428
2017-07-21,^AORD,All Ordinaries,Australia,5771.2001953125,-0.005942435682065539
2017-07-24,^AORD,All Ordinaries,Australia,5738.0,-0.005752736725276986
2017-07-25,^AORD,All Ordinaries,Australia,5775.2998046875,0.00650048879182652
2017-07-26,^AORD,All Ordinaries,Australia,5823.2998046875,0.008311256839175885
2017-07-27,^AORD,All Ordinaries,Australia,5832.2001953125,0.001528410166661054
2017-07-28,^AORD,All Ordinaries,Australia,5755.2001953125,-0.013202564627648905
2017-07-31,^AORD,All Ordinaries,Australia,5773.89990234375,0.003249184458688381
2017-08-01,^AORD,All Ordinaries,Australia,5820.60009765625,0.008088154644583234
2017-08-02,^AORD,All Ordinaries,Australia,5794.5,-0.004484090509286109
2017-08-03,^AORD,All Ordinaries,Australia,5786.7998046875,-0.0013288800263180356
2017-08-04,^AORD,All Ordinaries,Australia,5773.2998046875,-0.0023328956341404083
2017-08-07,^AORD,All Ordinaries,Australia,5824.5,0.008868445610763054
2017-08-08,^AORD,All Ordinaries,Australia,5795.7001953125,-0.004944596907459853
2017-08-09,^AORD,All Ordinaries,Australia,5816.39990234375,0.003571562767858749
2017-08-10,^AORD,All Ordinaries,Australia,5810.60009765625,-0.0009971468236156245
2017-08-11,^AORD,All Ordinaries,Australia,5743.5,-0.011547877418601749
2017-08-14,^AORD,All Ordinaries,Australia,5778.60009765625,0.006111273205580137
2017-08-15,^AORD,All Ordinaries,Australia,5804.0,0.004395511354740034
2017-08-16,^AORD,All Ordinaries,Australia,5830.7998046875,0.0046174715174880365
2017-08-17,^AORD,All Ordinaries,Australia,5827.2001953125,-0.0006173440172145828
2017-08-18,^AORD,All Ordinaries,Australia,5798.5,-0.004925211825670073
2017-08-21,^AORD,All Ordinaries,Australia,5780.0,-0.003190480296628384
2017-08-22,^AORD,All Ordinaries,Australia,5804.7998046875,0.0042906236483564175
2017-08-23,^AORD,All Ordinaries,Australia,5792.7001953125,-0.002084414584845651
2017-08-24,^AORD,All Ordinaries,Australia,5801.7001953125,0.001553679578874645
2017-08-25,^AORD,All Ordinaries,Australia,5803.39990234375,0.0002929670569022935
2017-08-28,^AORD,All Ordinaries,Australia,5771.2001953125,-0.005548421196727382
2017-08-29,^AORD,All Ordinaries,Australia,5733.60009765625,-0.006515126210106081
2017-08-30,^AORD,All Ordinaries,Australia,5733.7998046875,3.4831001089807856e-05
2017-08-31,^AORD,All Ordinaries,Australia,5776.2998046875,0.007412187632581002
2017-09-01,^AORD,All Ordinaries,Australia,5786.10009765625,0.0016966385575756249
2017-09-04,^AORD,All Ordinaries,Australia,5763.7998046875,-0.0038541146182008434
2017-09-05,^AORD,All Ordinaries,Australia,5767.7998046875,0.000693986629574983
2017-09-06,^AORD,All Ordinaries,Australia,5752.89990234375,-0.00258329048307826
2017-09-07,^AORD,All Ordinaries,Australia,5753.7998046875,0.00015642586504638345
2017-09-08,^AORD,All Ordinaries,Australia,5739.39990234375,-0.0025026769843501384
2017-09-11,^AORD,All Ordinaries,Australia,5779.0,0.006899693056773959
2017-09-12,^AORD,All Ordinaries,Australia,5806.39990234375,0.004741287825532181
2017-09-13,^AORD,All Ordinaries,Australia,5804.0,-0.00041332019566564515
2017-09-14,^AORD,All Ordinaries,Australia,5798.39990234375,-0.0009648686520072891
2017-09-15,^AORD,All Ordinaries,Australia,5755.7998046875,-0.007346871270301758
2017-09-18,^AORD,All Ordinaries,Australia,5779.0,0.004030750912080938
2017-09-19,^AORD,All Ordinaries,Australia,5772.39990234375,-0.0011420829998701754
2017-09-20,^AORD,All Ordinaries,Australia,5769.7001953125,-0.0004676923076922801
2017-09-21,^AORD,All Ordinaries,Australia,5716.7001953125,-0.009185919234253936
2017-09-22,^AORD,All Ordinaries,Australia,5740.60009765625,0.004180716414575514
2017-09-25,^AORD,All Ordinaries,Australia,5741.7001953125,0.00019163460919346953
2017-09-26,^AORD,All Ordinaries,Australia,5729.60009765625,-0.002107406734006889
2017-09-27,^AORD,All Ordinaries,Australia,5725.5,-0.0007155992715665027
2017-09-28,^AORD,All Ordinaries,Australia,5731.5,0.0010479434110557406
