date,month,market_name,state,confirmed,deaths,confirmed_DoD,deaths_DoD,population,uempl_rate,uempl_mom,uempl_mom_%,driving,transit,walking,last_updated
2020-01-22,2020-01-01,Alabama,AL,0,0,,,4903185.0,0.027000000000000003,,,100.33,106.58,93.14,2021-03-01
2020-01-23,2020-01-01,Alabama,AL,0,0,0.0,0.0,4903185.0,0.027000000000000003,,,105.53,105.51,90.27,2021-03-01
2020-01-24,2020-01-01,Alabama,AL,0,0,0.0,0.0,4903185.0,0.027000000000000003,,,125.69,127.41,119.82,2021-03-01
2020-01-25,2020-01-01,Alabama,AL,0,0,0.0,0.0,4903185.0,0.027000000000000003,,,122.09,123.85,126.27,2021-03-01
2020-01-26,2020-01-01,Alabama,AL,0,0,0.0,0.0,4903185.0,0.027000000000000003,,,82.45,93.68,64.25,2021-03-01
2020-01-27,2020-01-01,Alabama,AL,0,0,0.0,0.0,4903185.0,0.027000000000000003,,,98.85,97.2,87.01,2021-03-01
2020-01-28,2020-01-01,Alabama,AL,0,0,0.0,0.0,4903185.0,0.027000000000000003,,,101.6,98.71,94.78,2021-03-01
2020-01-29,2020-01-01,Alabama,AL,0,0,0.0,0.0,4903185.0,0.027000000000000003,,,97.95,101.04,87.71,2021-03-01
2020-01-30,2020-01-01,Alabama,AL,0,0,0.0,0.0,4903185.0,0.027000000000000003,,,109.32,106.58,96.97,2021-03-01
2020-01-31,2020-01-01,Alabama,AL,0,0,0.0,0.0,4903185.0,0.027000000000000003,,,129.43,122.78,117.7,2021-03-01
2020-02-01,2020-02-01,Alabama,AL,0,0,0.0,0.0,4903185.0,0.027000000000000003,0.0,0.0,123.78,121.21,121.39,2021-03-01
2020-02-02,2020-02-01,Alabama,AL,0,0,0.0,0.0,4903185.0,0.027000000000000003,0.0,0.0,87.78,99.18,72.21,2021-03-01
2020-02-03,2020-02-01,Alabama,AL,0,0,0.0,0.0,4903185.0,0.027000000000000003,0.0,0.0,100.84,102.93,93.13,2021-03-01
2020-02-04,2020-02-01,Alabama,AL,0,0,0.0,0.0,4903185.0,0.027000000000000003,0.0,0.0,101.5,106.48,90.04,2021-03-01
2020-02-05,2020-02-01,Alabama,AL,0,0,0.0,0.0,4903185.0,0.027000000000000003,0.0,0.0,97.22,111.17,86.56,2021-03-01
2020-02-06,2020-02-01,Alabama,AL,0,0,0.0,0.0,4903185.0,0.027000000000000003,0.0,0.0,105.55,117.84,91.43,2021-03-01
2020-02-07,2020-02-01,Alabama,AL,0,0,0.0,0.0,4903185.0,0.027000000000000003,0.0,0.0,127.88,121.43,117.94,2021-03-01
2020-02-08,2020-02-01,Alabama,AL,0,0,0.0,0.0,4903185.0,0.027000000000000003,0.0,0.0,121.14,127.16,127.28,2021-03-01
2020-02-09,2020-02-01,Alabama,AL,0,0,0.0,0.0,4903185.0,0.027000000000000003,0.0,0.0,91.5,104.72,72.78,2021-03-01
2020-02-10,2020-02-01,Alabama,AL,0,0,0.0,0.0,4903185.0,0.027000000000000003,0.0,0.0,100.76,116.87,83.87,2021-03-01
2020-02-11,2020-02-01,Alabama,AL,0,0,0.0,0.0,4903185.0,0.027000000000000003,0.0,0.0,106.25,102.49,91.85,2021-03-01
2020-02-12,2020-02-01,Alabama,AL,0,0,0.0,0.0,4903185.0,0.027000000000000003,0.0,0.0,106.59,109.5,97.55,2021-03-01
2020-02-13,2020-02-01,Alabama,AL,0,0,0.0,0.0,4903185.0,0.027000000000000003,0.0,0.0,122.67,120.14,109.9,2021-03-01
2020-02-14,2020-02-01,Alabama,AL,0,0,0.0,0.0,4903185.0,0.027000000000000003,0.0,0.0,152.62,138.92,145.67,2021-03-01
2020-02-15,2020-02-01,Alabama,AL,0,0,0.0,0.0,4903185.0,0.027000000000000003,0.0,0.0,136.69,134.14,158.94,2021-03-01
2020-02-16,2020-02-01,Alabama,AL,0,0,0.0,0.0,4903185.0,0.027000000000000003,0.0,0.0,97.66,102.17,82.99,2021-03-01
