state,market_name,month,uempl_rate,uempl_mom,uempl_mom_%
AK,Alaska,2020-01-01,0.06,,
AK,Alaska,2020-02-01,0.057999999999999996,-0.0020000000000000018,-0.033333333333333326
AK,Alaska,2020-03-01,0.052000000000000005,-0.0059999999999999915,-0.10344827586206884
AK,Alaska,2020-04-01,0.135,0.083,1.5961538461538463
AK,Alaska,2020-05-01,0.127,-0.008000000000000007,-0.059259259259259345
AK,Alaska,2020-06-01,0.124,-0.0030000000000000027,-0.023622047244094557
AK,Alaska,2020-07-01,0.11599999999999999,-0.008000000000000007,-0.06451612903225812
AK,Alaska,2020-08-01,0.07400000000000001,-0.04199999999999998,-0.3620689655172412
AK,Alaska,2020-09-01,0.07200000000000001,-0.0020000000000000018,-0.027027027027027084
AK,Alaska,2020-10-01,0.059000000000000004,-0.013000000000000005,-0.18055555555555558
AK,Alaska,2020-11-01,0.063,0.003999999999999997,0.06779661016949157
AK,Alaska,2020-12-01,0.057999999999999996,-0.0050000000000000044,-0.07936507936507942
AL,Alabama,2020-01-01,0.027000000000000003,,
AL,Alabama,2020-02-01,0.027000000000000003,0.0,0.0
AL,Alabama,2020-03-01,0.03,0.0029999999999999957,0.11111111111111094
AL,Alabama,2020-04-01,0.138,0.10800000000000001,3.6000000000000005
AL,Alabama,2020-05-01,0.096,-0.04200000000000001,-0.30434782608695654
AL,Alabama,2020-06-01,0.076,-0.020000000000000004,-0.20833333333333337
AL,Alabama,2020-07-01,0.079,0.0030000000000000027,0.03947368421052633
AL,Alabama,2020-08-01,0.055999999999999994,-0.023000000000000007,-0.2911392405063292
AL,Alabama,2020-09-01,0.067,0.01100000000000001,0.19642857142857162
AL,Alabama,2020-10-01,0.057,-0.010000000000000002,-0.14925373134328357
AL,Alabama,2020-11-01,0.044000000000000004,-0.012999999999999998,-0.22807017543859642
AL,Alabama,2020-12-01,0.039,-0.0050000000000000044,-0.11363636363636376
AR,Arkansas,2020-01-01,0.035,,
AR,Arkansas,2020-02-01,0.035,0.0,0.0
AR,Arkansas,2020-03-01,0.05,0.015,0.4285714285714286
AR,Arkansas,2020-04-01,0.10800000000000001,0.05800000000000001,1.1600000000000001
AR,Arkansas,2020-05-01,0.096,-0.01200000000000001,-0.11111111111111116
AR,Arkansas,2020-06-01,0.081,-0.015,-0.15625
AR,Arkansas,2020-07-01,0.071,-0.010000000000000009,-0.1234567901234569
AR,Arkansas,2020-08-01,0.07400000000000001,0.0030000000000000165,0.04225352112676073
AR,Arkansas,2020-09-01,0.07200000000000001,-0.0020000000000000018,-0.027027027027027084
AR,Arkansas,2020-10-01,0.062,-0.010000000000000009,-0.13888888888888895
AR,Arkansas,2020-11-01,0.063,0.0010000000000000009,0.016129032258064502
AR,Arkansas,2020-12-01,0.042,-0.020999999999999998,-0.33333333333333326
AZ,Arizona,2020-01-01,0.045,,
AZ,Arizona,2020-02-01,0.045,0.0,0.0
AZ,Arizona,2020-03-01,0.061,0.016,0.3555555555555556
AZ,Arizona,2020-04-01,0.134,0.07300000000000001,1.19672131147541
AZ,Arizona,2020-05-01,0.09,-0.04400000000000001,-0.32835820895522394
AZ,Arizona,2020-06-01,0.1,0.010000000000000009,0.11111111111111116
AZ,Arizona,2020-07-01,0.107,0.006999999999999992,0.06999999999999984
AZ,Arizona,2020-08-01,0.059000000000000004,-0.047999999999999994,-0.44859813084112143
AZ,Arizona,2020-09-01,0.065,0.005999999999999998,0.10169491525423724
AZ,Arizona,2020-10-01,0.079,0.013999999999999999,0.21538461538461529
AZ,Arizona,2020-11-01,0.08,0.0010000000000000009,0.012658227848101333
AZ,Arizona,2020-12-01,0.075,-0.0050000000000000044,-0.0625
CA,California,2020-01-01,0.039,,
CA,California,2020-02-01,0.039,0.0,0.0
CA,California,2020-03-01,0.055,0.016,0.41025641025641035
CA,California,2020-04-01,0.16399999999999998,0.10899999999999999,1.9818181818181815
CA,California,2020-05-01,0.16399999999999998,0.0,0.0
CA,California,2020-06-01,0.149,-0.014999999999999986,-0.09146341463414631
CA,California,2020-07-01,0.135,-0.013999999999999985,-0.09395973154362403
CA,California,2020-08-01,0.11199999999999999,-0.02300000000000002,-0.1703703703703705
CA,California,2020-09-01,0.111,-0.000999999999999987,-0.008928571428571286
CA,California,2020-10-01,0.09,-0.021000000000000005,-0.18918918918918926
CA,California,2020-11-01,0.081,-0.008999999999999994,-0.09999999999999998
CA,California,2020-12-01,0.09,0.008999999999999994,0.11111111111111094
CO,Colorado,2020-01-01,0.025,,
CO,Colorado,2020-02-01,0.025,0.0,0.0
CO,Colorado,2020-03-01,0.052000000000000005,0.027000000000000003,1.08
CO,Colorado,2020-04-01,0.122,0.06999999999999999,1.3461538461538458
CO,Colorado,2020-05-01,0.102,-0.020000000000000004,-0.16393442622950827
CO,Colorado,2020-06-01,0.106,0.0040000000000000036,0.03921568627450989
CO,Colorado,2020-07-01,0.07400000000000001,-0.03199999999999999,-0.3018867924528301
CO,Colorado,2020-08-01,0.067,-0.007000000000000006,-0.09459459459459463
CO,Colorado,2020-09-01,0.064,-0.0030000000000000027,-0.04477611940298509
