geo_type,market_name,date,driving,transit,walking
global,Australia,2020-01-13,100.0,100.0,100.0
global,Australia,2020-01-14,102.98,101.78,101.31
global,Australia,2020-01-15,104.21,100.64,101.82
global,Australia,2020-01-16,108.63,99.58,104.52
global,Australia,2020-01-17,109.08,98.34,113.73
global,Australia,2020-01-18,89.0,86.97,100.24
global,Australia,2020-01-19,99.35,99.87,98.57
global,Australia,2020-01-20,103.53,107.29,104.38
global,Australia,2020-01-21,106.8,109.13,108.51
global,Australia,2020-01-22,107.4,107.03,103.88
global,Australia,2020-01-23,115.65,106.64,112.4
global,Australia,2020-01-24,109.66,100.19,117.27
global,Australia,2020-01-25,88.59,90.61,103.02
global,Australia,2020-01-26,85.18,81.83,87.4
global,Australia,2020-01-27,95.91,101.78,96.18
global,Australia,2020-01-28,99.4,104.81,100.57
global,Australia,2020-01-29,99.92,103.03,100.25
global,Australia,2020-01-30,103.04,101.91,100.73
global,Australia,2020-01-31,103.73,97.77,108.69
global,Australia,2020-02-01,85.73,87.49,96.55
global,Australia,2020-02-02,93.39,98.72,92.71
global,Australia,2020-02-03,95.83,99.03,95.77
global,Australia,2020-02-04,98.63,102.4,99.1
global,Australia,2020-02-05,102.4,100.27,97.65
global,Australia,2020-02-06,107.46,100.82,97.97
global,Australia,2020-02-07,106.55,102.46,112.07
global,Australia,2020-02-08,86.33,84.1,88.84
global,Australia,2020-02-09,98.78,100.46,93.13
global,Australia,2020-02-10,100.08,105.77,100.34
global,Australia,2020-02-11,103.28,105.48,101.59
global,Australia,2020-02-12,106.19,106.71,104.56
global,Australia,2020-02-13,116.62,113.2,116.84
global,Australia,2020-02-14,115.36,111.33,129.56
global,Australia,2020-02-15,93.51,98.78,110.5
global,Australia,2020-02-16,98.27,109.3,103.76
global,Australia,2020-02-17,101.79,111.03,102.99
global,Australia,2020-02-18,105.38,115.59,107.3
global,Australia,2020-02-19,107.29,114.53,112.78
global,Australia,2020-02-20,113.37,116.25,116.31
global,Australia,2020-02-21,118.25,120.68,133.9
global,Australia,2020-02-22,97.6,104.35,113.52
global,Australia,2020-02-23,97.5,115.32,103.12
global,Australia,2020-02-24,102.7,119.81,106.0
global,Australia,2020-02-25,104.46,118.98,109.06
global,Australia,2020-02-26,106.23,115.46,109.52
global,Australia,2020-02-27,113.6,119.34,116.49
global,Australia,2020-02-28,117.64,122.09,135.14
global,Australia,2020-02-29,98.24,107.23,126.02
global,Australia,2020-03-01,97.35,113.58,100.94
global,Australia,2020-03-02,99.14,115.04,101.73
global,Australia,2020-03-03,101.63,112.26,101.17
global,Australia,2020-03-04,106.02,111.17,97.93
global,Australia,2020-03-05,113.97,113.82,111.79
global,Australia,2020-03-06,113.49,112.67,126.09
global,Australia,2020-03-07,93.23,98.27,108.98
global,Australia,2020-03-08,91.21,97.56,89.81
global,Australia,2020-03-09,96.44,105.15,96.18
global,Australia,2020-03-10,99.94,107.82,100.4
global,Australia,2020-03-11,100.79,106.36,100.94
global,Australia,2020-03-12,102.79,101.22,102.38
global,Australia,2020-03-13,98.75,88.82,103.92
global,Australia,2020-03-14,78.16,70.96,84.71
global,Australia,2020-03-15,81.59,76.49,75.67
global,Australia,2020-03-16,80.52,70.68,71.19
global,Australia,2020-03-17,78.87,65.78,68.72
global,Australia,2020-03-18,79.24,62.19,66.9
global,Australia,2020-03-19,83.55,61.79,68.29
global,Australia,2020-03-20,78.17,57.33,72.02
global,Australia,2020-03-21,60.74,43.75,54.18
global,Australia,2020-03-22,66.41,40.71,50.99
global,Australia,2020-03-23,62.49,33.94,46.97
global,Australia,2020-03-24,60.19,30.31,45.55
global,Australia,2020-03-25,57.96,26.9,43.82
global,Australia,2020-03-26,59.9,26.44,45.57
global,Australia,2020-03-27,48.25,23.77,41.88
global,Australia,2020-03-28,36.69,19.57,32.84
global,Australia,2020-03-29,51.18,23.53,40.93
global,Australia,2020-03-30,51.92,22.58,42.68
global,Australia,2020-03-31,52.04,21.67,41.98
global,Australia,2020-04-01,51.54,21.05,39.17
global,Australia,2020-04-02,54.23,21.25,42.38
global,Australia,2020-04-03,41.58,18.75,35.83
global,Australia,2020-04-04,33.34,16.62,31.11
global,Australia,2020-04-05,51.75,21.76,42.02
global,Australia,2020-04-06,53.17,21.2,42.71
global,Australia,2020-04-07,55.01,20.73,43.05
global,Australia,2020-04-08,59.24,21.28,47.21
global,Australia,2020-04-09,33.19,16.63,34.06
