date,market_name,Master Category,Category,value,value_3yr
2020-01-01,Australia,Additional,Cultural Trends,22.615384615384617,35.404761904761905
2020-01-01,Australia,Amex,Brand,16.333333333333332,17.846153846153847
2020-01-01,Australia,Coronavirus/Health,Coronavirus,1.2857142857142858,18.71428571428571
2020-01-01,Australia,Economy,Economy,3.5,10.166666666666666
2020-01-01,Australia,Entertainment,Streaming,65.0,88.66666666666667
2020-01-01,Australia,Finance,Finance,58.666666666666664,43.79999999999999
2020-01-01,Australia,Lifestyle,Credit Cards,8.8125,12.490196078431373
2020-01-01,Australia,Lifestyle,Dining,15.11111111111111,15.037037037037038
2020-01-01,Australia,Lifestyle,Dining In / Delivery,17.666666666666668,17.22222222222222
2020-01-01,Australia,Lifestyle,Dining Out,29.823529411764707,30.49019607843137
2020-01-01,Australia,Lifestyle,Domestic,46.18181818181818,47.54545454545454
2020-01-01,Australia,Lifestyle,Experiences,15.927272727272728,13.511904761904765
2020-01-01,Australia,Lifestyle,International,39.166666666666664,42.02777777777778
2020-01-01,Australia,Lifestyle,Talent,9.513513513513514,10.846846846846846
2020-01-01,Australia,Lifestyle,Travel,23.42105263157895,27.789473684210524
2020-01-01,Australia,Lifestyle,Venues,10.806451612903226,5.21505376344086
2020-01-01,Australia,Retail,Brick & Mortar,16.666666666666668,14.777777777777779
2020-01-01,Australia,Retail,E-Comm,48.0,11.666666666666666
2020-01-01,Australia,Small Business,B2B,2.642857142857143,5.095238095238095
2020-01-01,Australia,Small Business,Demand,32.111111111111114,31.925925925925924
2020-01-01,Australia,Small Business,Financial ,1.8333333333333333,10.0
2020-01-01,Australia,Small Business,Running A Business,23.333333333333332,14.111111111111109
2020-01-01,Australia,Small Business,Shopping Small,11.142857142857142,8.369047619047619
2020-01-01,Canada,Additional,Cultural Trends,24.53846153846154,31.928571428571427
2020-01-01,Canada,Amex,Brand,14.166666666666666,17.487179487179485
2020-01-01,Canada,Coronavirus/Health,Coronavirus,1.0,22.23809523809524
2020-01-01,Canada,Economy,Economy,3.5,14.166666666666666
2020-01-01,Canada,Entertainment,Streaming,76.0,83.33333333333333
2020-01-01,Canada,Finance,Finance,61.666666666666664,47.333333333333336
2020-01-01,Canada,Lifestyle,Credit Cards,6.3125,15.549019607843137
2020-01-01,Canada,Lifestyle,Dining,17.88888888888889,15.037037037037038
2020-01-01,Canada,Lifestyle,Dining In / Delivery,17.22222222222222,30.666666666666668
2020-01-01,Canada,Lifestyle,Dining Out,32.94117647058823,27.64705882352941
2020-01-01,Canada,Lifestyle,Domestic,47.45454545454545,36.878787878787875
2020-01-01,Canada,Lifestyle,Experiences,15.327272727272728,12.095238095238097
2020-01-01,Canada,Lifestyle,International,42.25,35.833333333333336
2020-01-01,Canada,Lifestyle,Talent,16.83783783783784,10.027027027027026
2020-01-01,Canada,Lifestyle,Travel,23.57894736842105,21.754385964912284
2020-01-01,Canada,Lifestyle,Venues,6.064516129032258,7.43010752688172
2020-01-01,Canada,Retail,Brick & Mortar,24.666666666666668,13.0
2020-01-01,Canada,Retail,E-Comm,39.0,38.0
2020-01-01,Canada,Small Business,B2B,4.142857142857143,7.428571428571428
2020-01-01,Canada,Small Business,Demand,25.22222222222222,26.740740740740737
2020-01-01,Canada,Small Business,Financial ,1.0,13.555555555555555
2020-01-01,Canada,Small Business,Running A Business,10.0,6.4444444444444455
2020-01-01,Canada,Small Business,Shopping Small,10.857142857142858,9.94047619047619
2020-01-01,United Kingdom,Additional,Cultural Trends,20.46153846153846,34.92857142857142
2020-01-01,United Kingdom,Amex,Brand,11.25,20.128205128205128
2020-01-01,United Kingdom,Coronavirus/Health,Coronavirus,0.5714285714285714,21.0
2020-01-01,United Kingdom,Economy,Economy,6.5,8.833333333333334
2020-01-01,United Kingdom,Entertainment,Streaming,70.0,68.0
2020-01-01,United Kingdom,Finance,Finance,43.0,41.333333333333336
2020-01-01,United Kingdom,Lifestyle,Credit Cards,16.4375,14.27450980392157
2020-01-01,United Kingdom,Lifestyle,Dining,17.0,12.679012345679013
2020-01-01,United Kingdom,Lifestyle,Dining In / Delivery,4.333333333333333,16.14814814814815
2020-01-01,United Kingdom,Lifestyle,Dining Out,25.764705882352942,28.41176470588235
2020-01-01,United Kingdom,Lifestyle,Domestic,63.09090909090909,41.36363636363637
2020-01-01,United Kingdom,Lifestyle,Experiences,20.345454545454544,12.738095238095235
2020-01-01,United Kingdom,Lifestyle,International,52.916666666666664,42.583333333333336
2020-01-01,United Kingdom,Lifestyle,Talent,12.54054054054054,9.324324324324323
2020-01-01,United Kingdom,Lifestyle,Travel,26.94736842105263,19.087719298245613
2020-01-01,United Kingdom,Lifestyle,Venues,10.741935483870968,12.774193548387098
2020-01-01,United Kingdom,Retail,Brick & Mortar,16.0,25.333333333333332
2020-01-01,United Kingdom,Retail,E-Comm,47.0,46.0
2020-01-01,United Kingdom,Small Business,B2B,15.214285714285714,12.5
2020-01-01,United Kingdom,Small Business,Demand,27.555555555555557,35.2962962962963
2020-01-01,United Kingdom,Small Business,Financial ,7.833333333333333,8.333333333333334
2020-01-01,United Kingdom,Small Business,Running A Business,8.0,6.888888888888889
2020-01-01,United Kingdom,Small Business,Shopping Small,10.75,11.523809523809524
2020-01-01,Mexico,Additional,Cultural Trends,21.46153846153846,34.357142857142854
2020-01-01,Mexico,Amex,Brand,4.833333333333333,6.974358974358974
2020-01-01,Mexico,Coronavirus/Health,Coronavirus,3.0,14.523809523809524
2020-01-01,Mexico,Economy,Economy,0.0,13.666666666666666
2020-01-01,Mexico,Entertainment,Streaming,57.0,81.33333333333333
2020-01-01,Mexico,Finance,Finance,40.333333333333336,29.400000000000002
2020-01-01,Mexico,Lifestyle,Credit Cards,4.375,4.549019607843137
2020-01-01,Mexico,Lifestyle,Dining,3.8518518518518516,4.296296296296297
2020-01-01,Mexico,Lifestyle,Dining In / Delivery,4.777777777777778,9.407407407407407
2020-01-01,Mexico,Lifestyle,Dining Out,22.058823529411764,19.058823529411764
2020-01-01,Mexico,Lifestyle,Domestic,18.09090909090909,15.181818181818182
2020-01-01,Mexico,Lifestyle,Experiences,6.254545454545455,7.3809523809523805
